unique_id,ds,y,AutoARIMA,AutoETS,CES,AutoRegressive,MSTL,HoltWinters,AutoTheta,ADIDA,CrostonClassic,CrostonOptimized,CrostonSBA,IMAPA,SES,SESOpt,NHITS,NBEATS,TFT,TiDE,DeepAR,DeepAR-median,DeepAR-lo-90,DeepAR-lo-80,DeepAR-hi-80,DeepAR-hi-90,AutoNHITS,AutoPatchTST,AutoTimesNet,Chronos_tiny,Chronos_mini,Chronos_small
6_1405_14,2024-01-01,88328.38787401983,57917.37319313113,88328.38787401983,25211.75390625,73263.52655665131,640459.9659353249,412308.9841891208,88328.387873993,84888.46442691691,247700.58008523856,84888.46442691691,235315.5510809766,84888.46442691691,87780.6953788495,88328.3878739929,87303.17,87613.99,105047.81,55826.773,123408.63,123021.086,105453.49,108779.14,132014.16,137579.23,84064.95,88340.67,85555.52,88209.578125,88209.578125,70567.671875
6_1407_2,2023-10-01,2118.298878574824,269880.84818863997,567446.6492086485,-24283.201171875,314798.7676379512,121601.38886488863,366213.0779516457,4340.518163758496,623118.9545842537,682174.1588974477,623118.9545842537,648065.4509525753,623118.9545842537,324933.5637134434,26629.098516975777,-2242.7615,-3352.5588,593.1985,1271921.2,2165.8306,2150.8694,1832.3733,1953.7239,2443.8044,2553.4973,-18189.625,11565.375,-192579.81,4150.96044921875,0.007909581996500492,0.007909581996500492
6_1407_2,2023-11-01,296375.72760664474,566189.9584636148,567446.6492086485,259891.640625,454419.2493334486,144819.4063138361,337483.2159524806,4340.518163758496,623118.9545842537,682174.1588974477,623118.9545842537,648065.4509525753,623118.9545842537,324933.5637134434,26629.098516975777,5156.47,11487.396,544.2689,789988.8,2301.886,2310.0444,1995.5808,2126.7524,2443.1318,2470.6743,30943.844,5448.3125,-183843.81,0.007909581996500492,0.007909581996500492,8301.9130859375
6_1407_2,2023-12-01,1069743.6310048343,566189.9584636148,567446.6492086485,160408.71875,516495.72940793965,223898.03091385012,280035.29102388397,4340.518163758496,623118.9545842537,682174.1588974477,623118.9545842537,648065.4509525753,623118.9545842537,324933.5637134434,26629.098516975777,3899.3076,3941.04,544.9929,203785.77,2401.5854,2408.8838,2139.4539,2229.6174,2558.329,2601.0337,-27269.594,-1962.5625,-173416.56,4150.96044921875,0.007909581996500492,8301.9130859375
6_1407_2,2024-01-01,2238426.0255484004,566189.9584636148,567446.6492086485,146125.0625,544095.472165187,437150.8643143047,1070950.9464067323,4340.518163758496,623118.9545842537,682174.1588974477,623118.9545842537,648065.4509525753,623118.9545842537,324933.5637134434,26629.098516975777,12930.293,64810.27,538.2998,120754.695,2467.1333,2465.5398,2206.25,2261.7324,2633.1292,2777.4065,-10788.8125,1409.8125,-171319.94,0.007909581996500492,0.007909581996500492,0.007909581996500492
6_1407_72,2023-10-01,465.73803866797914,1924.8621752560214,1918.821979290533,263.04852294921875,1459.3701479888882,-1191.9549967184876,-3917.9953177191437,133.23934939212995,1068.1518199509635,1184.1531676490529,564.027437472361,1124.9455092666,1068.1518199509635,481.9605852140726,1045.273422385462,472.26785,473.87054,465.91156,629.1435,468.03247,467.47382,462.51273,463.68774,471.04498,473.2121,453.61523,466.40323,475.0895,465.6924133300781,465.6924133300781,465.6924133300781
6_1407_72,2023-11-01,465.73803866797914,1924.8621752560214,1918.821979290533,182.09938049316406,1745.5213631095548,-1321.4396537185437,-3929.654315291448,-55.28144144084786,1068.1518199509635,1184.1531676490529,564.027437472361,1124.9455092666,1068.1518199509635,481.9605852140726,1045.273422385462,470.57617,468.78308,465.83844,366.41284,469.64273,469.3075,466.9811,467.19318,471.8157,473.11227,438.66138,466.0261,482.2839,465.6924133300781,465.6924133300781,465.6924133300781
6_1407_72,2023-12-01,465.73803866797914,1924.8621752560214,1918.821979290533,158.56846618652344,1827.9286415649542,-1969.8719658120197,-3532.31185003784,-243.80223227382567,1068.1518199509635,1184.1531676490529,564.027437472361,1124.9455092666,1068.1518199509635,481.9605852140726,1045.273422385462,467.3684,467.72238,465.70163,219.50777,471.10388,471.37744,468.24884,469.07794,474.20636,475.21216,463.24097,465.57068,481.64447,465.6924133300781,508.0281066894531,465.6924133300781
6_1407_72,2024-01-01,465.73803866797914,1924.8621752560214,1918.821979290533,135.03378295898438,1851.6607076320581,-1828.3087649715821,-4892.731361119807,-432.3230231068038,1068.1518199509635,1184.1531676490529,564.027437472361,1124.9455092666,1068.1518199509635,481.9605852140726,1045.273422385462,462.12607,461.25906,465.60858,475.59482,472.70972,472.99384,467.34033,468.85883,476.3543,478.7935,459.3806,465.7787,480.64682,2.6890011213254184e-05,493.9162292480469,465.6924133300781
6_1409_14,2023-10-01,547807.7344818295,782189.6959993461,491383.90630289697,140379.875,796160.227943819,-191956.5062912841,-999227.6593764337,407344.17275693885,611543.9738577803,611551.1413786076,611543.9738577803,580973.5843096772,611543.9738577803,442392.5388874422,608644.2626770027,416793.72,419365.3,362896.97,-305073.28,293725.22,313850.2,37340.25,104072.68,485232.6,637175.9,346181.5,526989.75,440067.5,544780.25,556249.3125,561983.875
6_1409_14,2023-11-01,569548.1703408868,782189.6959993461,514196.62670057244,45950.25390625,781427.6550188926,14120.195367525448,-720272.1162203453,372959.5247654738,611543.9738577803,611551.1413786076,611543.9738577803,580973.5843096772,611543.9738577803,442392.5388874422,608644.2626770027,487684.75,473279.06,362866.12,545191.6,294875.94,320362.25,-34228.55,10695.94,468457.97,527699.6,544692.8,526467.06,446302.84,550514.75,561983.875,590656.5
6_1409_14,2023-12-01,263591.5459387866,782189.6959993461,537009.347098248,6046.0634765625,782231.2625236647,-417607.9132557368,-686232.1281994836,338574.87677400897,611543.9738577803,611551.1413786076,611543.9738577803,580973.5843096772,611543.9738577803,442392.5388874422,608644.2626770027,351346.53,386904.62,362849.9,341545.97,296347.7,287243.56,-38763.207,85738.83,504938.53,686119.5,586218.6,525833.94,438272.2,550514.75,590656.5,573452.9375
6_1409_14,2024-01-01,498230.9092846241,782189.6959993461,559822.0674959235,-9358.376953125,782187.4286987778,169062.96733725496,-1213162.6659075576,304190.228782544,611543.9738577803,611551.1413786076,611543.9738577803,580973.5843096772,611543.9738577803,442392.5388874422,608644.2626770027,435022.25,481781.66,362846.34,838252.25,296111.7,252381.45,-16441.11,75883.1,398718.47,482012.47,287103.56,526122.2,436944.66,527576.6875,613594.625,567718.375
